Wall time,Step,Value
1776791391.385804,2048,265.28570556640625
1776791401.798697,4096,317.8333435058594
1776791413.064203,6144,359.8235168457031
1776791425.682513,8192,386.5238037109375
1776791435.9769542,10240,392.19232177734375
1776791445.9767108,12288,375.21875
1776791457.065419,14336,365.4210510253906
1776791469.2437801,16384,361.4222106933594
1776791504.711091,18432,361.058837890625
1776791515.046178,20480,337.7833251953125
1776791525.985441,22528,315.7464904785156
1776791536.748336,24576,302.76544189453125
1776791547.1196601,26624,294.68890380859375
1776791592.0472069,28672,280.8900146484375
1776791603.26597,30720,272.80999755859375
1776791614.321234,32768,234.22999572753906
1776791626.962917,34816,216.36000061035156
1776791654.159277,36864,170.52000427246094
1776791666.0148711,38912,170.19000244140625
1776791679.909549,40960,156.85000610351562
1776791713.567553,43008,141.55999755859375
1776791725.3666759,45056,116.75
1776791751.304,47104,107.37999725341797
1776791761.634921,49152,95.05999755859375
1776791781.88275,51200,84.05000305175781
1776791792.235594,53248,80.95999908447266
1776791816.359106,55296,78.0
1776791826.3085818,57344,74.66999816894531
1776791846.20676,59392,71.81999969482422
1776791856.48139,61440,69.47000122070312
1776791880.187249,63488,70.01000213623047
1776791904.289879,65536,65.18000030517578
1776791914.541068,67584,66.3499984741211
1776791936.523516,69632,61.5
1776791958.834933,71680,61.189998626708984
1776791969.154933,73728,56.599998474121094
1776791995.387945,75776,55.97999954223633
1776792016.167031,77824,56.0
1776792026.3185868,79872,68.76000213623047
1776792036.4637089,81920,88.0199966430664
1776792046.5972219,83968,105.7300033569336
1776792077.188056,86016,109.2699966430664
1776792102.797539,88064,111.23999786376953
1776792113.6429062,90112,57.75
1776792140.1438131,92160,56.54999923706055
1776792153.229195,94208,56.439998626708984
1776792163.4933739,96256,60.310001373291016
1776792181.729707,98304,58.93000030517578
1776792202.4713159,100352,56.0099983215332
1776792216.476319,102400,54.59000015258789
1776792226.770968,104448,56.5
1776792247.02193,106496,55.04999923706055
1776792269.247294,108544,52.790000915527344
1776792291.874254,110592,51.04999923706055
1776792302.177922,112640,54.02000045776367
1776792322.244107,114688,53.91999816894531
1776792340.3093839,116736,53.97999954223633
1776792360.236931,118784,55.02000045776367
1776792370.560082,120832,56.310001373291016
1776792387.469918,122880,57.060001373291016
1776792405.201535,124928,55.099998474121094
1776792425.944187,126976,52.279998779296875
1776792436.2424588,129024,52.880001068115234
1776792452.849941,131072,53.290000915527344
1776792470.468878,133120,51.560001373291016
1776792486.9717638,135168,51.08000183105469
1776792504.228257,137216,52.709999084472656
1776792514.497542,139264,54.77000045776367
1776792534.764292,141312,56.790000915527344
1776792552.3210602,143360,52.529998779296875
1776792576.125995,145408,52.90999984741211
1776792597.026062,147456,51.16999816894531
1776792607.303529,149504,49.810001373291016
1776792626.021903,151552,49.5
1776792636.974826,153600,44.779998779296875
1776792659.7751548,155648,39.2400016784668
1776792681.016955,157696,42.459999084472656
1776792702.748784,159744,44.880001068115234
1776792714.493841,161792,37.83000183105469
1776792738.030143,163840,39.54999923706055
1776792754.566781,165888,44.349998474121094
1776792776.858227,167936,42.900001525878906
1776792798.598131,169984,41.86000061035156
1776792817.914421,172032,45.189998626708984
1776792835.911801,174080,40.279998779296875
1776792857.081644,176128,43.72999954223633
1776792868.746099,178176,52.29999923706055
1776792895.5920799,180224,49.310001373291016
1776792943.233442,182272,36.72999954223633
1776792955.0120971,184320,39.22999954223633
1776792975.811001,186368,47.09000015258789
1776792999.734443,188416,52.77000045776367
1776793022.9251862,190464,46.959999084472656
1776793044.543638,192512,44.97999954223633
1776793066.830923,194560,38.290000915527344
1776793085.678215,196608,36.279998779296875
1776793106.763911,198656,36.68000030517578
1776793130.7488089,200704,39.119998931884766
1776793258.1768389,202752,45.7599983215332
1776793269.629975,204800,51.33000183105469
1776793281.2136278,206848,62.13999938964844
1776793292.8661351,208896,56.060001373291016
1776793305.127224,210944,61.59000015258789
1776793327.422577,212992,59.09000015258789
1776793352.345769,215040,57.47999954223633
1776793462.833569,217088,52.97999954223633
1776793487.47297,219136,60.459999084472656
1776793505.020919,221184,58.27000045776367
1776793515.263187,223232,60.27000045776367
1776793538.157742,225280,52.66999816894531
1776793549.306117,227328,32.41999816894531
1776793566.777419,229376,36.36000061035156
1776793588.66007,231424,44.4900016784668
1776793599.137595,233472,51.150001525878906
1776793619.4235442,235520,48.459999084472656
1776793641.143937,237568,51.349998474121094
1776793659.902714,239616,55.86000061035156
1776793670.4213738,241664,46.15999984741211
1776793680.7769542,243712,51.959999084472656
1776793691.145581,245760,52.08000183105469
1776793713.630524,247808,51.599998474121094
1776793724.0698628,249856,60.75
1776793737.3945742,251904,57.45000076293945
1776793757.436608,253952,48.22999954223633
1776793776.587195,256000,47.279998779296875
1776793795.914464,258048,56.689998626708984
1776793806.234595,260096,55.349998474121094
1776793823.2915149,262144,48.97999954223633
1776793838.909649,264192,53.150001525878906
1776793858.336302,266240,52.029998779296875
1776793868.8427231,268288,51.0099983215332
1776793890.851394,270336,41.13999938964844
1776793907.536371,272384,41.68000030517578
1776793917.906105,274432,46.38999938964844
1776793940.682224,276480,51.279998779296875
1776793956.405073,278528,52.97999954223633
