Wall time,Step,Value
1776791391.3859541,2048,-264.88092041015625
1776791401.7988212,4096,-213.18222045898438
1776791413.0643399,6144,-209.0599822998047
1776791425.682646,8192,-212.41021728515625
1776791435.977055,10240,-151.83486938476562
1776791445.9767401,12288,-61.54497528076172
1776791457.065568,14336,-37.055702209472656
1776791469.243928,16384,-4.225963115692139
1776791504.7111318,18432,17.783905029296875
1776791515.046299,20480,59.45368194580078
1776791525.98559,22528,90.1424789428711
1776791536.748462,24576,117.03389739990234
1776791547.119793,26624,140.6221466064453
1776791592.0472581,28672,157.04722595214844
1776791603.2660968,30720,202.3742218017578
1776791614.32141,32768,261.0663146972656
1776791626.963066,34816,272.5858459472656
1776791654.159861,36864,300.8386535644531
1776791666.0150201,38912,304.7747497558594
1776791679.909896,40960,308.7987060546875
1776791713.567683,43008,323.6287536621094
1776791725.36715,45056,335.58941650390625
1776791751.304054,47104,351.4844665527344
1776791761.6350348,49152,360.3666687011719
1776791781.882852,51200,363.86236572265625
1776791792.235727,53248,366.07684326171875
1776791816.3591402,55296,364.7424011230469
1776791826.3088331,57344,369.1523132324219
1776791846.206793,59392,373.67913818359375
1776791856.4814742,61440,375.49127197265625
1776791880.187299,63488,380.54193115234375
1776791904.28991,65536,372.8504943847656
1776791914.5411131,67584,375.87347412109375
1776791936.52356,69632,371.39764404296875
1776791958.834979,71680,375.79315185546875
1776791969.154963,73728,370.1415710449219
1776791995.3879948,75776,365.7671813964844
1776792016.167209,77824,359.9224548339844
1776792026.31861,79872,327.6642150878906
1776792036.4638562,81920,299.9622497558594
1776792046.5979269,83968,286.9636535644531
1776792077.188271,86016,278.3747863769531
1776792102.797647,88064,273.68133544921875
1776792113.643009,90112,348.5661926269531
1776792140.143849,92160,358.4474792480469
1776792153.229245,94208,366.5650634765625
1776792163.4934452,96256,366.8962707519531
1776792181.7297359,98304,374.16705322265625
1776792202.471369,100352,370.9394836425781
1776792216.4764218,102400,368.87677001953125
1776792226.770997,104448,369.50189208984375
1776792247.022138,106496,368.8428649902344
1776792269.24733,108544,368.7129211425781
1776792291.87429,110592,360.3845520019531
1776792302.177949,112640,367.8113098144531
1776792322.244169,114688,363.6606750488281
1776792340.309485,116736,364.1747741699219
1776792360.236962,118784,366.02947998046875
1776792370.560197,120832,372.8238525390625
1776792387.469952,122880,378.7790222167969
1776792405.20168,124928,372.9865417480469
1776792425.9462311,126976,366.2564392089844
1776792436.242487,129024,367.5418701171875
1776792452.850104,131072,371.5490417480469
1776792470.468907,133120,367.67828369140625
1776792486.971955,135168,369.19805908203125
1776792504.228339,137216,375.571044921875
1776792514.497571,139264,379.48004150390625
1776792534.7643251,141312,384.0965881347656
1776792552.3212018,143360,371.61199951171875
1776792576.126039,145408,373.76898193359375
1776792597.026089,147456,367.56036376953125
1776792607.30367,149504,365.2230529785156
1776792626.021931,151552,368.00494384765625
1776792636.975017,153600,279.8497619628906
1776792659.775193,155648,173.15550231933594
1776792681.0169878,157696,-605493.5
1776792702.748987,159744,-869252.1875
1776792714.4938712,161792,-263625.46875
1776792738.030367,163840,157.28573608398438
1776792754.5668108,165888,19.95917510986328
1776792776.858263,167936,45.62588119506836
1776792798.598176,169984,-29035.056640625
1776792817.914468,172032,-133620.96875
1776792835.911835,174080,-104395.5859375
1776792857.081685,176128,122.43037414550781
1776792868.746148,178176,-41620.55859375
1776792895.5921159,180224,-41576.53515625
1776792943.2335591,182272,176.1637725830078
1776792955.012129,184320,-253914.125
1776792975.811269,186368,-583993.5625
1776792999.734473,188416,-1293390.625
1776793022.925218,190464,-758717.4375
1776793044.543675,192512,-49403.0703125
1776793066.831093,194560,79.64315032958984
1776793085.678244,196608,211.44906616210938
1776793106.76394,198656,202.89007568359375
1776793130.748874,200704,-33589.23046875
1776793258.176873,202752,-2013007.125
1776793269.6300092,204800,-2914913.0
1776793281.213773,206848,-6438970.0
1776793292.866166,208896,-3523927.25
1776793305.127997,210944,-8923537.0
1776793327.4227579,212992,-5444007.0
1776793352.3457978,215040,-6060910.0
1776793462.8336031,217088,-836722.8125
1776793487.473006,219136,-1376063.625
1776793505.020959,221184,-657703.5625
1776793515.263277,223232,-850970.0625
1776793538.1578171,225280,-492525.09375
1776793549.306145,227328,105.17244720458984
1776793566.777534,229376,135.46461486816406
1776793588.6601012,231424,-11663.5732421875
1776793599.13772,233472,-555399.375
1776793619.423765,235520,-651398.25
1776793641.143975,237568,-963686.0
1776793659.902901,239616,-1293979.75
1776793670.421406,241664,-330132.21875
1776793680.776982,243712,-435000.3125
1776793691.1457868,245760,-114668.8828125
1776793713.630871,247808,-114663.1328125
1776793724.070037,249856,-741492.5625
1776793737.39472,251904,-731571.375
1776793757.436642,253952,-234847.046875
1776793776.587334,256000,-368939.09375
1776793795.914494,258048,-388439.71875
1776793806.2347798,260096,-19351.21484375
1776793823.291565,262144,-19276.125
1776793838.909697,264192,-62271.89453125
1776793858.336332,266240,-542044.8125
1776793868.842962,268288,-541971.4375
1776793890.8514261,270336,203.26425170898438
1776793907.536402,272384,-656770.8125
1776793917.906136,274432,-916256.1875
1776793940.682276,276480,-497147.34375
1776793956.405199,278528,-322333.6875
1776793966.844246,280576,-217086.109375
1776793990.644196,282624,-88.46592712402344
1776794001.175283,284672,138.3026123046875
1776794011.347946,286720,-1916575.625
1776794022.227029,288768,-2163201.25
1776794032.658093,290816,-246464.5625
1776794055.8767428,292864,-2690.12841796875
1776794070.227798,294912,198.51052856445312
1776794094.828974,296960,221.1568145751953
1776794105.1655512,299008,-148093.28125
1776794219.605439,301056,-337818.125
1776794234.9077592,303104,-522029.28125
1776794245.866714,305152,-373718.8125
1776794270.8414578,307200,179.640380859375
1776794386.859655,309248,-29565.82421875
1776794407.157078,311296,-29587.61328125
1776794432.2684338,313344,176.62452697753906
1776794452.762597,315392,186.4115447998047
1776794476.4463098,317440,151.824951171875
1776794499.402827,319488,-11731.78125
1776794519.145138,321536,-11668.619140625
1776794543.698715,323584,-210913.015625
1776794553.983381,325632,-567958.6875
1776794576.1022239,327680,-356835.0
1776794603.12875,329728,165.11314392089844
1776794617.732228,331776,161.50006103515625
1776794630.6764019,333824,-295781.21875
1776794649.48122,335872,-502274.46875
1776794671.541149,337920,-206536.78125
1776794686.914539,339968,71.13591766357422
1776794712.1071758,342016,-385670.5625
1776794728.153744,344064,-385619.34375
1776794741.726872,346112,138.7327423095703
1776794755.3307688,348160,135.6712188720703
1776794783.697726,350208,-127850.9765625
1776794801.479226,352256,-184025.59375
1776794822.4620101,354304,-56032.0234375
1776794847.3376472,356352,-354980.0
1776794870.863598,358400,120.01258850097656
1776794896.103592,360448,110.47261047363281
1776794926.560964,362496,119.39360046386719
1776794944.042921,364544,139.1465301513672
1776794970.260944,366592,-2040551.25
1776794983.520616,368640,-2085840.375
1776795005.557153,370688,-2314277.5
1776795022.817085,372736,-335185.8125
1776795149.450329,374784,-333567.8125
1776795173.1860778,376832,-5724171.5
1776795185.840302,378880,-5845291.0
1776795217.078788,380928,-6708534.5
1776795241.1710489,382976,-880011.0
1776795280.01477,385024,81.3768310546875
1776795305.846454,387072,137.2704620361328
1776795319.4429739,389120,-3081600.25
1776795344.7182221,391168,-3081627.25
1776795370.162205,393216,-146592.125
1776795401.161725,395264,-432185.375
1776795423.826145,397312,-479881.5625
